id,Color,SKU,Nombre,Publicado,Descripción,main-features,mode-use-outfit,mode-use-size,mode-use-style,tech-description,users-guide,Inventario,Precio normal,Precio rebajado,Categorías,Etiquetas,Imágenes,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo 1
,variable,reloj-dw-010,DW 010,1,"
Reloj Loix Smart watch unisex, pulso silicona, caja metálica tecnología ECG con memoria interna de 256K+64M.

Que tu Salud sea lo primero, así que lleva un control de ella con el mejor aliado. Un Loix de tecnología ECG con el que puedes realizar el monitoreo de tu frecuencia cardiaca, presión arterial y además te permite realizar un electro cardiograma en tiempo real, que puedes compartir con tu deportólogo o médico de confianza. 

Recuerda que este Smart te permite llevar valores de referencia, en ningún momento sustituye la opinión de un profesional.

 ¡Es momento de cuidarte!
",,Deportivo,Mediano,Deportivo,"Sim Card: No

Procesador: NRf52832 Norbic

Pantalla: 1,3 pulgadas touch key

Tiempo de carga: ± 3 Horas

Resolución de pantalla: 240*240 MP

Batería: 220 MAH

Bluetooth: 4,0

Resistencia al agua: IP68
",manual-dw01,,"360.000,00",,Smart Watch,"smart watch, relojes inteligentes, relojes, watches, smart, fashion, trend, tendencia, moda, reloj para hombre, reloj para mujer, reloj deportivo","dw10-1-referencia, dw10-1-montaje ",Color,Color,Negro
,variable,reloj-id115-1,ID115-1,1,"Smart band Loix unisex pulso silicona, caja plástica con largo de pulsera de 25 cm y ultraligera.

Los grandes cambios empiezan con pequeños detalles. 

Un Loix ultraliviano, ideal para llevar el control de tus metas y actividad deportiva además cuenta con notificaciones de llamadas y mensajes de whastapp.

 ES hora de dar un paso al frente.

",,Deportivo,Pequeño,Deportivo,"Sim Card: No

Procesador: NRf52832 Norbic

Pantalla: 0,96 pulgadas, táctil

Tiempo de carga: ± 3 Horas

Resolución de pantalla: 160*80 MP, color

Batería: 90 MAH

Bluetooth: 4,0

Resistencia al agua: IP68",manual-id115,,"230.000,00",,Smart Watch,"smart watch, relojes inteligentes, relojes, watches, smart, fashion, trend, tendencia, moda, reloj para hombre, reloj para mujer, reloj deportivo, bandas deportivas","id115-1-referencia, 
id115-1-montaje ",Color,Color,"Verde, Negro, Rojo"
,,reloj-id115-2,ID115-2,1,"Smart band Loix unisex pulso silicona, caja plástica con largo de pulsera de 25 cm y ultraligera.

Los grandes cambios empiezan con pequeños detalles. 

Un Loix ultraliviano, ideal para llevar el control de tus metas y actividad deportiva además cuenta con notificaciones de llamadas y mensajes de whastapp.

 ES hora de dar un paso al frente.

",,Deportivo,Pequeño,Deportivo,"Sim Card: No

Procesador: NRf52832 Norbic

Pantalla: 0,96 pulgadas, táctil

Tiempo de carga: ± 3 Horas

Resolución de pantalla: 160*80 MP, color

Batería: 90 MAH

Bluetooth: 4,0

Resistencia al agua: IP68",manual-id115,,"230.000,00",,Smart Watch,"smart watch, relojes inteligentes, relojes, watches, smart, fashion, trend, tendencia, moda, reloj para hombre, reloj para mujer, reloj deportivo","id115-2-referencia, 
id115-2-montaje ",Color,Color,Negro
,,reloj-id115-3,ID115-3,1,"Smart band Loix unisex pulso silicona, caja plástica con largo de pulsera de 25 cm y ultraligera.

Los grandes cambios empiezan con pequeños detalles. 

Un Loix ultraliviano, ideal para llevar el control de tus metas y actividad deportiva, además cuenta con notificaciones de llamadas y mensajes de whastapp.

 ES hora de dar un paso al frente.

",,Deportivo,Pequeño,Deportivo,"Sim Card: No

Procesador: NRf52832 Norbic

Pantalla: 0,96 pulgadas, táctil

Tiempo de carga: ± 3 Horas

Resolución de pantalla: 160*80 MP, color

Batería: 90 MAH

Bluetooth: 4,0

Resistencia al agua: IP68",manual-id115,,"230.000,00",,Smart Watch,"smart watch, relojes inteligentes, relojes, watches, smart, fashion, trend, tendencia, moda, reloj para mujer, reloj deportivo","id115-3-referencia, 
id115-3-montaje ",Color,Color,Rojo
,variable,reloj-il1101,IL1101,1,"Smart watch Loix IL1101 unisex, ideal para recibir todas las notificaciones de tu celular. Pulso en silicona, caja metálica, memoria RAM 64 M y ROM 128 M expandible. 

Que la tecnología sea tu aliada. 

Un Loix con el mejor sistema de notificación, mensajes de whastapp y llamadas, estas últimas puedes responderlas desde el reloj ya que este modelo viene con alta voz integrado, además cuenta con un Slot de sim card para que puedas usar tu Smart watch como un dispositivo auxiliar en caso de que tu celular se descargue. ¡Todo al alcance de tu mano! 
Recuerda que debes realizar el registro del equipo en su respectivo operador.

",,Deportivo,Mediano,Deportivo,"Sim Card: Si

Procesador: MTK2502C Media Tek

Pantalla: 1,3 pulgadas, táctil

Tiempo de carga: ± 3 Horas

Resolución de pantalla: 240*240 MP

Batería: 350 MAH

Bluetooth: 4,0

Resistencia al agua: No
",manual-il1101,,"369.000,00",,Smart Watch,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew mujeres clasicas, relojes esenciales","il1101-1-referencia, 
il1101-1-montaje ",Color,Color,Negro
,variable,reloj-il1104,IL1104,1,"Reloj Loix Smart Watch, pulso acero estilo milanesa, memoria RAM 64K y ROM 512K.

Este diseño es ideal para recibir las notificaciones de tu teléfono.

 Mantente en contacto gracias a nuestro Loix de la línea Nexus mediante el cual podrás recibir todas las notificaciones de tu teléfono como llamadas y mensajes de whastapp. 

Es momento de hacer parte del nuevo mundo.
",,Casual-Formal,Pequeño,Fashion,"Sim Card: No

Procesador: NRf52832 Norbic

Pantalla: 1,04 Pulgadas, touch key

Tiempo de carga: ± 3 Horas

Resolución de pantalla: 240*198 MP

Batería: 140 MAH

Bluetooth: 4,0

Resistencia al agua: IP68
",manual-il1104,,"360.000,00",,0,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew mujeres clasicas, relojes esenciales","il1104-1-referencia,
il1104-1-referencia-2,
il1104-1-referencia-3,  
il1104-1-referencia-4, 
il1104-1-referencia-5, 
il1104-1-montaje",Color,Color,"Oro Rosa,"
,variable,reloj-l1011-1,L1011-1,0,"Reloj Loix pulso en acero 32 mm, segundero lateral y movimiento japonés.

Los cimientos de un edificio son lo más importante, al igual que tu  reputación en los negocios. Acompaña tu éxito con este Loix con pulso  totalmente en acero  de máxima resistencia.

 No estas para improvisar, toma el control de tu camino.

","caja-32,
caja-alloy,
3atm",Casual-Formal,Grande,Clásico,"MOVIMIENTO OT45


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundero lateral y fecha

Batería: SR927W

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)

Garantía: Un año",manual-loix,,"204.000,00",,Women > essentials > classics,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew mujeres clasicas, relojes esenciales","l1011-1-referencia, 
l1011-1-montaje, 
l1011-video,
caja-32,
caja-alloy,
3atm",Color,Color,"Plateado con tablero Blanco, Plateado con tablero Azul, Plateado con tablero Negro, Plateado con Dorado tablero Blanco, Plateado con Dorado tablero Negro, Plateado con Oro Rosa tablero Blanco, Plateado con Oro Rosa tablero Blanco, Plateado con Oro Rosa tablero Negro"
,variation,reloj-l1011-2,L1011-2,0,"Reloj Loix pulso en acero 32 mm, segundero lateral y movimiento japonés.

Los cimientos de un edificio son lo más importante, al igual que tu  reputación en los negocios. Acompaña tu éxito con este Loix con pulso  totalmente en acero  de máxima resistencia.

 No estas para improvisar, toma el control de tu camino.



","caja-32,
caja-alloy,
3atm",Casual-Formal,Grande,Clásico,"Movimiento OT45


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundero lateral y fecha

Batería: SR927W

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)

Garantía: Un año
",manual-loix,,"204.000,00",,Women > essentials > classics,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew mujeres clasicas, relojes esenciales","l1011-2-referencia, 
l1011-2-montaje, 
l1011-video,
caja-32,
caja-alloy,
3atm",Color,Color,Plateado con tablero Azul
,variation,reloj-l1011-3,L1011-3,0,"Reloj Loix pulso en acero 32 mm, segundero lateral y movimiento japonés.

Los cimientos de un edificio son lo más importante, al igual que tu  reputación en los negocios. Acompaña tu éxito con este Loix con pulso  totalmente en acero  de máxima resistencia.

 No estas para improvisar, toma el control de tu camino.


","caja-32,
caja-alloy,
3atm",Casual-Formal,Grande,Clásico,"Movimiento OT45


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundero lateral y fecha

Batería: SR927W

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)

Garantía: Un año
",manual-loix,,"204.000,00",,Women > essentials > classics,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew mujeres clasicas, relojes esenciales","l1011-3-referencia, 
l1011-3-montaje, 
l1011-video,
caja-32,
caja-alloy,
3atm",Color,Color,Plateado con tablero Negro
,variation,reloj-l1011-4,L1011-4,0,"Reloj Loix pulso en acero 32 mm, segundero lateral y movimiento japonés.

Los cimientos de un edificio son lo más importante, al igual que tu  reputación en los negocios. Acompaña tu éxito con este Loix con pulso  totalmente en acero  de máxima resistencia.

 No estas para improvisar, toma el control de tu camino.

","caja-32,
caja-alloy,
3atm",Casual-Formal,Grande,Clásico,"Movimiento OT45


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundero lateral y fecha

Batería: SR927W

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)

Garantía: Un año
",manual-loix,,"204.000,00",,Women > essentials > classics,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew mujeres clasicas, relojes esenciales","l1011-4-referencia, 
l1011-4-montaje, 
l1011-video,
caja-32,
caja-alloy,
3atm",Color,Color,Plateado con Dorado tablero Blanco
